aboriginal-songlines | culture/Oral Navigation | Fragmented Aboriginal Songlines | '1800s-1900s'
aeolipile | technology/Steam Power | Heron | '~1st century CE'
ainu-throat-singing | sound/Vocal Traditions | Ainu Rekuhkara | '~1960'
aksumite-obelisks | culture/Lost Engineering | Aksumite Obelisk Construction | '~700 CE'
alala-song | sound/Bird Vocalizations | The Alal\u0101 | 2002
amazonian-cities | place/Vanished Civilizations | Pre-Columbian Amazonian Cities | '~1540'
american-chestnut | food/Lost Staple Foods | American Chestnut | '~1950'
an-lushan-libraries | culture/Lost Libraries | Tang Libraries of the An Lushan Rebellion | 763
ansault-pear | food/Fruit Cultivars | The Ansault Pear | '~1900'
antikythera-cargo | culture/Underwater Archaeology | The Antikythera Shipwreck Cargo | '~60 BCE'
antikythera-mechanism | technology/Computing and Astronomy | The Antikythera Mechanism | '~60 BCE'
aral-sea | place/Drained Water Bodies | The Aral Sea | 2014
araucaria-mirabilis | flora/Prehistoric Trees | Araucaria mirabilis | '~160 million years ago'
archaeomagnetism | culture/Archaeological Science | Earth | 2020
arecibo-telescope | technology/Lost Scientific Infrastructure | Arecibo Telescope | 2020
arioi-society | culture/Polynesian Religion | The Arioi of Tahiti | 1797
aristotle-on-poets | culture/Lost Philosophical Works | Aristotle\ | 'c. 322 BCE'
atlas-bear | fauna/Bears | The Atlas Bear | 1870
atlit-yam | place/Submerged Prehistoric Settlements | Atlit Yam | -5000
ayapaneco | language/Mesoamerican Languages | Ayapaneco | 2011
aztec-ballgame | culture/Lost Sports | Mesoamerican Ballgame (Ullamaliztli) | 1521
aztec-chocolate | food/Historical Beverages | Aztec Chocolate | '~1521'
babylonian-calculus | technology/Mathematics | Babylonian Trapezoid Calculus | '~100 BCE'
bachs-lituus | sound/Lost Instruments | Bach\ | '~1750'
baiji | fauna/Marine Mammals | The Baiji | 2006
bakelite | material/Lost Manufacturing Processes | The Bakelite Formula | 1945
balds-eyesalve | technology/Medicine | Bald | '~1100'
balinese-subak | technology/Agriculture | Balinese Subak | 2012
bbc-wiped-tapes | culture/Broadcast Media | The BBC Wiped Tapes | 1978
bengal-quince | food/Heritage Fruit Cultivars | Heritage Bengal Quince Cultivars | '~20th century'
benin-bronzes | culture/Decontextualized Art | The Context of the Benin Bronzes | 1897
beothuk | language/Extinct Language Families | Beothuk Language | 1829
beringia | place/Submerged Landscapes | Beringia | '~11000 BCE'
bison-cuisine | food/Lost Culinary Traditions | Great Plains Bison Cuisine | 1889
blue-lotus-ritual | culture | Blue Lotus Ritual Ceremonies | '~4th century CE'
bobbio-library | culture/Lost Libraries | The Bobbio Library | 1492
bois-dentelle | flora/Extinct in Wild Trees | Bois Dentelle | '~1990'
booming-ben | fauna/Extinct Birds | Booming Ben | 1932
bramble-cay-melomys | fauna/Rodents | The Bramble Cay Melomys | 2009
bubal-hartebeest | fauna/Antelope | The Bubal Hartebeest | 1923
byzantine-silk-secrets | material/Lost Textile Techniques | Byzantine Silk Secrets | 1204
cafe-marron | flora/Critically Endangered Plants | Cafe Marron | 1980
caribbean-monk-seal | fauna/Extinct Marine Mammals | Caribbean Monk Seal | 1952
carthage-destruction | place | The Destruction of Carthage | '146 BCE'
caspian-tiger | fauna/Big Cats | The Caspian Tiger | 1970
castrato-voice | sound/Musical Traditions | The Castrato Voice | 1922
cathar-texts | culture/Destroyed Religious Traditions | Cathar Religious Texts | 1321
cave-lion | fauna/Pleistocene Megafauna | Cave Lion | -11900
cedars-of-lebanon | flora/Ancient Forests | The Cedars of Lebanon | '~1900'
centralia | place/Abandoned Places | Centralia, Pennsylvania | 1981
chimu-hydraulics | technology/Lost Engineering | Chimu Intervalley Hydraulics | 1470
chinese-paddlefish | fauna/Extinct Fish | Chinese Paddlefish | 2003
claxton-peach | food/Lost Cultivars | Claxton Seedling Peach | 1970
cleopatra-1917 | technology/Lost Silent Films | Theda Bara\ | 1937
cluny-library | culture/Lost Libraries | The Library of Cluny Abbey | 1500
colossus-of-rhodes | culture/Ancient Monuments | The Colossus of Rhodes | '~653 CE'
concorde | technology/Retired Technology | Concorde | 2003
cooksonia | flora/Prehistoric Plants | Cooksonia | '430 million years ago'
cornish-cauliflower | food/Heritage Vegetables | Old Cornish Cauliflower | '~1950'
coventry-bells | sound/Destroyed Instruments | Medieval Bells of Coventry Cathedral | 1940
cremonese-violin-school | technology/Instrument Making | The Cremonese Violin-Making School | 1750
cry-violet | flora/Wildflowers | The Cry Violet | 1927
crystal-palace | place/Demolished Landmarks | The Crystal Palace | 1936
cyanea-superba | flora/Hawaiian Lobelioids | Cyanea superba | 2003
cypro-minoan | language/Undeciphered Scripts | Cypro-Minoan Script | '~1050 BCE'
dalmatian-language | language/Romance Languages | The Dalmatian Language | 1898
damascus-steel | technology/Metallurgy | Damascus Steel | '~1750'
democritus-mikros-diakosmos | culture/Lost Philosophical Works | Democritus\ | 'c. 370 BCE'
denisovan-culture | culture/Archaic Human Cultures | Denisovan Culture | -48000
dodo | fauna/Extinct Birds | Dodo | 1681
doggerland | place/Submerged Landscapes | Doggerland | '~6500 BCE'
dorona-grape | food/Heritage Grapes | Dorona di Venezia | 1966
dura-language | language/Extinct Languages | Dura Language | 2008
dutch-golden-age-pigments | material/Pigments | Dutch Golden Age Pigment Preparation | '~1700'
edo-firework-formulas | technology/Pyrotechnics | Edo-Period Firework Formulas | '~1843'
egyptian-blue | material/Pigment | Egyptian Blue | '~800'
egyptian-mummification | culture/Lost Ritual Arts | Egyptian Mummification | '~400 CE'
eleusinian-mysteries | culture/Lost Rituals | Eleusinian Mysteries | 392
epicurus-on-nature | culture/Lost Philosophical Works | Epicurus\ | 'c. 270 BCE'
